rubric_id,task_id,criteria,weight,required,keyword_signal,feedback_if_missing
R_T_FRONT_1_1,T_FRONT_1,Ada struktur HTML semantic,35,True,struktur|html|semantic|dasar|html_file/screenshot,Lengkapi bagian ini: Ada struktur HTML semantic
R_T_FRONT_1_2,T_FRONT_1,Ada heading dan section profil,30,True,heading|section|profil|html|dasar|html_file/screenshot,Lengkapi bagian ini: Ada heading dan section profil
R_T_FRONT_1_3,T_FRONT_1,Ada tombol call-to-action,20,True,tombol|call-to-action|html|dasar|html_file/screenshot,Lengkapi bagian ini: Ada tombol call-to-action
R_T_FRONT_1_4,T_FRONT_1,Ada screenshot hasil browser,15,False,screenshot|hasil|browser|html|dasar|html_file/screenshot,Lengkapi bagian ini: Ada screenshot hasil browser
R_T_FRONT_2_1,T_FRONT_2,CSS terhubung ke HTML,35,True,terhubung|html|dasar|html_css_files/screenshot,Lengkapi bagian ini: CSS terhubung ke HTML
R_T_FRONT_2_2,T_FRONT_2,Spacing dan warna konsisten,30,True,spacing|warna|konsisten|dasar|html_css_files/screenshot,Lengkapi bagian ini: Spacing dan warna konsisten
R_T_FRONT_2_3,T_FRONT_2,Layout tidak pecah di mobile,20,True,layout|tidak|pecah|mobile|dasar|html_css_files/screenshot,Lengkapi bagian ini: Layout tidak pecah di mobile
R_T_FRONT_2_4,T_FRONT_2,Ada screenshot hasil,15,False,screenshot|hasil|dasar|html_css_files/screenshot,Lengkapi bagian ini: Ada screenshot hasil
R_T_FRONT_3_1,T_FRONT_3,JavaScript terhubung ke HTML,35,True,javascript|terhubung|html|dasar|html_js_files/screenshot,Lengkapi bagian ini: JavaScript terhubung ke HTML
R_T_FRONT_3_2,T_FRONT_3,Ada querySelector,30,True,queryselector|javascript|dasar|html_js_files/screenshot,Lengkapi bagian ini: Ada querySelector
R_T_FRONT_3_3,T_FRONT_3,Ada addEventListener,20,True,addeventlistener|javascript|dasar|html_js_files/screenshot,Lengkapi bagian ini: Ada addEventListener
R_T_FRONT_3_4,T_FRONT_3,Ada perubahan tampilan setelah klik,15,False,perubahan|tampilan|setelah|klik|javascript|dasar|html_js_files/screenshot,Lengkapi bagian ini: Ada perubahan tampilan setelah klik
R_T_FRONT_4_1,T_FRONT_4,Ada minimal 3 card,35,True,minimal|card|dasar|html_css_files/screenshot,Lengkapi bagian ini: Ada minimal 3 card
R_T_FRONT_4_2,T_FRONT_4,Layout memakai flex/grid,30,True,layout|memakai|flex/grid|dasar|html_css_files/screenshot,Lengkapi bagian ini: Layout memakai flex/grid
R_T_FRONT_4_3,T_FRONT_4,Card tetap terbaca di mobile,20,True,card|tetap|terbaca|mobile|dasar|html_css_files/screenshot,Lengkapi bagian ini: Card tetap terbaca di mobile
R_T_FRONT_4_4,T_FRONT_4,Ada screenshot hasil,15,False,screenshot|hasil|dasar|html_css_files/screenshot,Lengkapi bagian ini: Ada screenshot hasil
R_T_FRONT_5_1,T_FRONT_5,Ada form input,35,True,form|input|javascript|dasar|github_link/screenshot,Lengkapi bagian ini: Ada form input
R_T_FRONT_5_2,T_FRONT_5,Ada fetch POST,30,True,fetch|post|javascript|dasar|github_link/screenshot,Lengkapi bagian ini: Ada fetch POST
R_T_FRONT_5_3,T_FRONT_5,Ada handling loading/error,20,True,handling|loading/error|javascript|dasar|github_link/screenshot,Lengkapi bagian ini: Ada handling loading/error
R_T_FRONT_5_4,T_FRONT_5,Response JSON tampil di UI,15,False,response|json|tampil|javascript|dasar|github_link/screenshot,Lengkapi bagian ini: Response JSON tampil di UI
R_T_FRONT_6_1,T_FRONT_6,Ada link GitHub,35,True,link|github|github_link,Lengkapi bagian ini: Ada link GitHub
R_T_FRONT_6_2,T_FRONT_6,README menjelaskan tujuan,30,True,readme|menjelaskan|tujuan|github|github_link,Lengkapi bagian ini: README menjelaskan tujuan
R_T_FRONT_6_3,T_FRONT_6,Ada cara menjalankan/membuka,20,True,cara|menjalankan/membuka|github|github_link,Lengkapi bagian ini: Ada cara menjalankan/membuka
