peran,skill_id,keahlian,priority,required_level,source_url,title,company
frontend_developer,js,JavaScript,medium,basic,https://jobs.ashbyhq.com/clarify/3051d6cb-b1fe-40cf-bc10-61a521ca9d08,Frontend Engineer,Clarify
frontend_developer,react,React,medium,intermediate,https://jobs.ashbyhq.com/clarify/3051d6cb-b1fe-40cf-bc10-61a521ca9d08,Frontend Engineer,Clarify
frontend_developer,react,React,medium,intermediate,https://jobs.ashbyhq.com/openai/5bde9af5-df78-460e-ae9c-5c49ac778640,"Frontend Engineer, ChatGPT Engineering",OpenAI
backend_developer,python,Python,medium,basic,https://jobs.ashbyhq.com/boam/a7c8e2a7-ef4e-4768-a16d-ed258e57d90d/,Backend Engineer,Boam AI
frontend_developer,js,JavaScript,medium,basic,https://jobs.lever.co/procreate/38e3f80e-370b-4eee-a69d-0ce7a60afb6a,Frontend Engineer,Procreate
frontend_developer,react,React,medium,intermediate,https://jobs.lever.co/procreate/38e3f80e-370b-4eee-a69d-0ce7a60afb6a,Frontend Engineer,Procreate
frontend_developer,html,HTML,medium,beginner,https://jobs.lever.co/procreate/38e3f80e-370b-4eee-a69d-0ce7a60afb6a,Frontend Engineer,Procreate
frontend_developer,css,CSS,medium,beginner,https://jobs.lever.co/procreate/38e3f80e-370b-4eee-a69d-0ce7a60afb6a,Frontend Engineer,Procreate
frontend_developer,vue,Vue.js,medium,intermediate,https://jobs.lever.co/procreate/38e3f80e-370b-4eee-a69d-0ce7a60afb6a,Frontend Engineer,Procreate
cyber_security_analyst,siem,SIEM,medium,intermediate,https://jobs.lever.co/olo/b19e4037-f645-47d0-bc29-10a714fa19e7,Staff Security Engineer (Blue Team),Olo
cyber_security_analyst,linux,Linux,medium,basic,https://jobs.lever.co/olo/b19e4037-f645-47d0-bc29-10a714fa19e7,Staff Security Engineer (Blue Team),Olo
frontend_developer,js,JavaScript,medium,basic,https://jobs.lever.co/insify/bf641b5a-82f8-4b79-9c3b-c7d381a42d89,Frontend Engineer - Growth team,Insify
frontend_developer,react,React,medium,intermediate,https://jobs.lever.co/insify/bf641b5a-82f8-4b79-9c3b-c7d381a42d89,Frontend Engineer - Growth team,Insify
frontend_developer,html,HTML,medium,beginner,https://jobs.lever.co/insify/bf641b5a-82f8-4b79-9c3b-c7d381a42d89,Frontend Engineer - Growth team,Insify
frontend_developer,css,CSS,medium,beginner,https://jobs.lever.co/insify/bf641b5a-82f8-4b79-9c3b-c7d381a42d89,Frontend Engineer - Growth team,Insify
frontend_developer,js,JavaScript,medium,basic,https://jobs.lever.co/aircall/2313b30a-1136-4db9-bc1d-26337a92823d,Security Engineer - Product Security,Aircall
backend_developer,python,Python,medium,basic,https://jobs.lever.co/aircall/2313b30a-1136-4db9-bc1d-26337a92823d,Security Engineer - Product Security,Aircall
backend_developer,java,Java,medium,basic,https://jobs.lever.co/aircall/2313b30a-1136-4db9-bc1d-26337a92823d,Security Engineer - Product Security,Aircall
backend_developer,python,Python,medium,basic,https://jobs.lever.co/cimgroup/c1570490-e240-4f03-97ff-3a91a7433a89,Senior Data Analyst,"CIM Group, LP"
backend_developer,sql,SQL,medium,basic,https://jobs.lever.co/cimgroup/c1570490-e240-4f03-97ff-3a91a7433a89,Senior Data Analyst,"CIM Group, LP"
data_analyst,sql,SQL,medium,basic,https://jobs.lever.co/cimgroup/c1570490-e240-4f03-97ff-3a91a7433a89,Senior Data Analyst,"CIM Group, LP"
data_analyst,tableau,Tableau,medium,intermediate,https://jobs.lever.co/cimgroup/c1570490-e240-4f03-97ff-3a91a7433a89,Senior Data Analyst,"CIM Group, LP"
data_analyst,powerbi,Power BI,medium,intermediate,https://jobs.lever.co/cimgroup/c1570490-e240-4f03-97ff-3a91a7433a89,Senior Data Analyst,"CIM Group, LP"
backend_developer,python,Python,medium,basic,https://jobs.lever.co/artifactuprising.com/ab40d46b-41ca-4ed2-80b9-b3db1cf82a90,Senior Data Analyst,Artifact Uprising
backend_developer,sql,SQL,medium,basic,https://jobs.lever.co/artifactuprising.com/ab40d46b-41ca-4ed2-80b9-b3db1cf82a90,Senior Data Analyst,Artifact Uprising
data_analyst,sql,SQL,medium,basic,https://jobs.lever.co/artifactuprising.com/ab40d46b-41ca-4ed2-80b9-b3db1cf82a90,Senior Data Analyst,Artifact Uprising
data_analyst,tableau,Tableau,medium,intermediate,https://jobs.lever.co/artifactuprising.com/ab40d46b-41ca-4ed2-80b9-b3db1cf82a90,Senior Data Analyst,Artifact Uprising
data_analyst,powerbi,Power BI,medium,intermediate,https://jobs.lever.co/artifactuprising.com/ab40d46b-41ca-4ed2-80b9-b3db1cf82a90,Senior Data Analyst,Artifact Uprising
