pretext_text,target_role,problem_category,current_level,blocker_type
"Saya mantan staff finance, aku mau masuk cybersecurity. aku ragu terus sama kemampuan sendiri. Sekarang aku sudah intermediate, dan aku kurang percaya diri.",cybersecurity,confidence_issue,intermediate,no_confidence
"Saya career switch dari admin operasional, aku lagi ngejar role web frontend. gap skillku kerasa waktu ngerjain task. Sekarang levelku masih nol, dan aku sering ganti topik. aku gampang down.",frontend,skill_gap,zero,too_many_options
"Mau UIUX, masalah belum jelas. dasar masih bolong. Intinya mentok, detailnya belum jelas. aku gampang down.",uiux,unclear,zero,no_foundation
"Mau backend, galau pilih jalur. opsi kebanyakan. aku gampang down.",backend,direction_confused,unclear,too_many_options
"Mau cybersecurity, galau pilih jalur. portfolio kosong.",cybersecurity,direction_confused,intermediate,no_portfolio
"Aku baru selesai kuliah, aku lagi fokus server-side. aku minder waktu compare sama orang lain. Sekarang baru kelar beberapa tutorial, dan aku kurang percaya diri.",backend,confidence_issue,basic,no_confidence
"Mau UIUX, nggak pede. waktu mepet.",uiux,confidence_issue,intermediate,no_time
"saya mantan staff finance mau jadi data analyst, tp aku overload setiap lihat daftar belajar, levelku masih campur-campur, dan aku kebanyakan opsi; kepala mumet",data_analyst,overwhelmed,unclear,too_many_options
"saya kerja full-time non-it mau masuk cybersecurity, tp arah belajarku kepencar dan susah mutusin, baru kelar beberapa tutorial, dan aku minim proyek bukti kerja; kadang blank",cybersecurity,direction_confused,basic,no_portfolio
"Aku mahasiswa semester 6, aku targetku frontend React. aku baru banget dan bingung mulai dari mana. Sekarang levelku susah dinilai, dan aku sering ganti topik.",frontend,beginner_lost,unclear,too_many_options
"Aku mahasiswa semester 6, aku target role-ku masih belum jelas. aku pemula total dan belum tahu langkah awal. Sekarang di level intermediate aku lumayan mandiri, dan jadwalku padat. Aku sering berubah pikiran.",unclear,beginner_lost,intermediate,no_time
"saya kerja full-time non-it lagi ngejar role web frontend, tp aku galau antara beberapa role, aku sudah intermediate, dan aku minim proyek bukti kerja; jujur pusing",frontend,direction_confused,intermediate,no_portfolio
"saya kerja full-time non-it target role-ku masih belum jelas, tp to-do belajarku numpuk sampai aku freeze, levelku susah dinilai, dan waktu belajarku sempit; nggak tau deh Aku sering berubah pikiran. aku lagi panik.",unclear,overwhelmed,unclear,no_time
"Aku lulusan D3 dan lagi cari jalur tech, aku targetku kerja di UIUX. aku bingung harus pilih jalur yang mana. Sekarang pengalaman praktikku belum ada, dan aku sering mundur karena takut jelek.",uiux,direction_confused,zero,no_confidence
"Role masih bingung, kewalahan materi. portfolio kosong. Aku sering berubah pikiran.",unclear,overwhelmed,intermediate,no_portfolio
"Role masih bingung, skill belum cukup. dasar masih bolong. Aku sering berubah pikiran.",unclear,skill_gap,zero,no_foundation
"Aku fresh graduate informatika, aku targetku backend API. gap skillku kerasa waktu ngerjain task. Sekarang baru kelar beberapa tutorial, dan jam belajarku sering kepotong.",backend,skill_gap,basic,no_time
"Mau frontend, masalah belum jelas. dasar masih bolong. Level intermediate. Intinya mentok, detailnya belum jelas.",frontend,unclear,intermediate,no_foundation
"Aku lulusan D3 dan lagi cari jalur tech, aku targetku kerja di data analyst. aku butuh bantuan tapi akar masalah belum kebaca. Sekarang aku sendiri belum yakin levelku, dan aku nggak punya urutan belajar. Intinya mentok, detailnya belum jelas. aku takut gagal.",data_analyst,unclear,unclear,no_roadmap
"Aku anak bootcamp malam, aku lagi ngarah ke data reporting. arah belajarku kepencar dan susah mutusin. Sekarang baru kelar beberapa tutorial, dan sumber macetnya masih samar.",data_analyst,direction_confused,basic,unclear
"saya pindah bidang dari sales targetku kerja di data analyst, tp arah belajarku kepencar dan susah mutusin, levelku susah dinilai, dan jadwalku padat; nggak tau deh",data_analyst,direction_confused,unclear,no_time
"Saya mantan staff finance, aku targetku jadi SOC analyst. yang bikin macet belum jelas. Sekarang levelku masih nol, dan aku ragu tiap mau submit. Intinya mentok, detailnya belum jelas.",cybersecurity,unclear,zero,no_confidence
"Mau UIUX, kewalahan materi. dasar masih bolong.",uiux,overwhelmed,basic,no_foundation
"Aku baru selesai kuliah, aku lagi ngarah ke product design. gap skillku kerasa waktu ngerjain task. Sekarang dasar-dasar baru kebangun, dan aku belum bisa tunjuk blocker utama.",uiux,skill_gap,basic,unclear
"Mau frontend, baru banget, bingung mulai. roadmap belum ada.",frontend,beginner_lost,zero,no_roadmap
"Saya career switch dari admin operasional, aku mau jadi data analyst. aku butuh bantuan tapi akar masalah belum kebaca. Sekarang aku masih basic, dan aku ragu tiap mau submit. Intinya mentok, detailnya belum jelas.",data_analyst,unclear,basic,no_confidence
"Aku mahasiswa tingkat akhir, aku lagi ngarah ke product design. materinya kebanyakan dan aku sering kewalahan. Sekarang levelku masih nol, dan pilihan terlalu banyak sampai fokus pecah.",uiux,overwhelmed,zero,too_many_options
"Mau cybersecurity, nggak pede. opsi kebanyakan.",cybersecurity,confidence_issue,zero,too_many_options
"Mau data analyst, masalah belum jelas. portfolio kosong. Intinya mentok, detailnya belum jelas.",data_analyst,unclear,intermediate,no_portfolio
"Aku baru selesai kuliah, aku targetku jadi SOC analyst. aku butuh bantuan tapi akar masalah belum kebaca. Sekarang aku sudah intermediate, dan jadwalku padat. Intinya mentok, detailnya belum jelas. aku takut gagal.",cybersecurity,unclear,intermediate,no_time
"aku mahasiswa tingkat akhir targetku backend API, tp materinya kebanyakan dan aku sering kewalahan, baru kelar beberapa tutorial, dan kendala utamaku belum punya portfolio; kadang blank aku lagi panik.",backend,overwhelmed,basic,no_portfolio
"Saya pindah bidang dari sales, aku targetku frontend React. aku sering mentok karena skill inti belum kuat. Sekarang pengalaman praktikku belum ada, dan pondasi dasarku masih bolong. aku lagi panik.",frontend,skill_gap,zero,no_foundation
"Saya mantan staff finance, aku lagi fokus server-side. aku minder waktu compare sama orang lain. Sekarang aku belum pernah bikin project, dan aku nggak punya urutan belajar.",backend,confidence_issue,zero,no_roadmap
"Mau data analyst, masalah belum jelas. portfolio kosong. Intinya mentok, detailnya belum jelas. Sekarang aku fokus benahin ritme belajar.",data_analyst,unclear,intermediate,no_portfolio
"Mau backend, skill belum cukup. kurang pede.",backend,skill_gap,zero,no_confidence
"aku fresh graduate informatika lagi ngarah ke product design, tp materinya kebanyakan dan aku sering kewalahan, levelku susah dinilai, dan aku nggak punya urutan belajar; jujur pusing",uiux,overwhelmed,unclear,no_roadmap
