id_rubrik,keahlian,kriteria,skor_min,skor_max
R_T_FRONT_1_1,HTML dasar,Ada struktur HTML semantic,0,35
R_T_FRONT_1_2,HTML dasar,Ada heading dan section profil,0,30
R_T_FRONT_1_3,HTML dasar,Ada tombol call-to-action,0,20
R_T_FRONT_1_4,HTML dasar,Ada screenshot hasil browser,0,15
R_T_FRONT_2_1,CSS dasar,CSS terhubung ke HTML,0,35
R_T_FRONT_2_2,CSS dasar,Spacing dan warna konsisten,0,30
R_T_FRONT_2_3,CSS dasar,Layout tidak pecah di mobile,0,20
R_T_FRONT_2_4,CSS dasar,Ada screenshot hasil,0,15
R_T_FRONT_3_1,JavaScript dasar,JavaScript terhubung ke HTML,0,35
R_T_FRONT_3_2,JavaScript dasar,Ada querySelector,0,30
R_T_FRONT_3_3,JavaScript dasar,Ada addEventListener,0,20
R_T_FRONT_3_4,JavaScript dasar,Ada perubahan tampilan setelah klik,0,15
R_T_FRONT_4_1,CSS dasar,Ada minimal 3 card,0,35
R_T_FRONT_4_2,CSS dasar,Layout memakai flex/grid,0,30
R_T_FRONT_4_3,CSS dasar,Card tetap terbaca di mobile,0,20
R_T_FRONT_4_4,CSS dasar,Ada screenshot hasil,0,15
R_T_FRONT_5_1,JavaScript dasar,Ada form input,0,35
R_T_FRONT_5_2,JavaScript dasar,Ada fetch POST,0,30
R_T_FRONT_5_3,JavaScript dasar,Ada handling loading/error,0,20
R_T_FRONT_5_4,JavaScript dasar,Response JSON tampil di UI,0,15
R_T_FRONT_6_1,Git dan GitHub,Ada link GitHub,0,35
R_T_FRONT_6_2,Git dan GitHub,README menjelaskan tujuan,0,30
R_T_FRONT_6_3,Git dan GitHub,Ada cara menjalankan/membuka,0,20
R_T_FRONT_6_4,Git dan GitHub,Ada screenshot hasil,0,15
R_T_FRONT_7_1,TypeScript,Ada type/interface,0,35
R_T_FRONT_7_2,TypeScript,Ada array data typed,0,30
R_T_FRONT_7_3,TypeScript,Ada function memakai tipe,0,20
R_T_FRONT_7_4,TypeScript,Ada bukti compile/output,0,15
R_T_FRONT_8_1,JavaScript dasar,Ada empty state,0,35
R_T_FRONT_8_2,JavaScript dasar,Ada loading state,0,30
R_T_FRONT_8_3,JavaScript dasar,Ada success/error state,0,20
R_T_FRONT_8_4,JavaScript dasar,Ada dokumentasi alur,0,15
R_T_BACK_1_1,JavaScript dasar,Ada function validasi,0,35
R_T_BACK_1_2,JavaScript dasar,Ada minimal 2 contoh test payload,0,30
R_T_BACK_1_3,JavaScript dasar,Error message jelas,0,20
R_T_BACK_1_4,JavaScript dasar,Ada screenshot/link hasil run,0,15
R_T_BACK_2_1,SQL dasar,Ada CREATE TABLE,0,35
R_T_BACK_2_2,SQL dasar,Ada INSERT minimal 5 data,0,30
R_T_BACK_2_3,SQL dasar,Ada SELECT WHERE,0,20
R_T_BACK_2_4,SQL dasar,Ada GROUP BY atau summary,0,15
R_T_BACK_3_1,REST API,Ada endpoint GET dan POST,0,35
R_T_BACK_3_2,REST API,Response berbentuk JSON,0,30
R_T_BACK_3_3,REST API,Ada validasi input,0,20
R_T_BACK_3_4,REST API,Ada error response saat payload salah,0,15
R_T_BACK_4_1,Git dan GitHub,Ada link GitHub,0,35
R_T_BACK_4_2,Git dan GitHub,README menjelaskan project,0,30
R_T_BACK_4_3,Git dan GitHub,Ada contoh endpoint/request response,0,20
R_T_BACK_4_4,Git dan GitHub,Ada screenshot endpoint,0,15
R_T_BACK_5_1,Python dasar,Ada list/dictionary todo,0,35
R_T_BACK_5_2,Python dasar,Ada function validasi,0,30
R_T_BACK_5_3,Python dasar,Ada summary status,0,20
