question_id,answer_value,skill_id,skill_name,skill_score
Q_UI_U_0001,belum_paham,wireframing,Dynamic Skill,0
Q_UI_U_0001,paham_dasar,wireframing,Dynamic Skill,1
Q_UI_U_0001,cukup_paham,ui_principles,Dynamic Skill,2
Q_DATA_0002,belum_paham,python_basic,Dynamic Skill,0
Q_DATA_0002,paham_dasar,spreadsheet_basic,Dynamic Skill,1
Q_DATA_0002,cukup_paham,spreadsheet_basic,Dynamic Skill,2
Q_DATA_0003,belum_paham,spreadsheet_basic,Dynamic Skill,0
Q_DATA_0003,paham_dasar,python_basic,Dynamic Skill,1
Q_DATA_0003,cukup_paham,sql_basic,Dynamic Skill,2
Q_WEB__0004,belum_paham,javascript_basic,Dynamic Skill,0
Q_WEB__0004,paham_dasar,css_basic,Dynamic Skill,1
Q_WEB__0004,cukup_paham,javascript_basic,Dynamic Skill,2
Q_AI_M_0005,belum_paham,mlops,Dynamic Skill,0
Q_AI_M_0005,paham_dasar,model_training,Dynamic Skill,1
Q_AI_M_0005,cukup_paham,python_basic,Dynamic Skill,2
Q_CYBE_0006,belum_paham,linux_basic,Dynamic Skill,0
Q_CYBE_0006,paham_dasar,networking_fundamental,Dynamic Skill,1
Q_CYBE_0006,cukup_paham,log_analysis,Dynamic Skill,2
Q_CYBE_0007,belum_paham,networking_fundamental,Dynamic Skill,0
Q_CYBE_0007,paham_dasar,linux_basic,Dynamic Skill,1
Q_CYBE_0007,cukup_paham,linux_basic,Dynamic Skill,2
Q_DATA_0008,belum_paham,python_basic,Dynamic Skill,0
Q_DATA_0008,paham_dasar,sql_basic,Dynamic Skill,1
Q_DATA_0008,cukup_paham,sql_basic,Dynamic Skill,2
Q_WEB__0009,belum_paham,html_basic,Dynamic Skill,0
Q_WEB__0009,paham_dasar,html_basic,Dynamic Skill,1
Q_WEB__0009,cukup_paham,html_basic,Dynamic Skill,2
Q_UI_U_0010,belum_paham,figma,Dynamic Skill,0
Q_UI_U_0010,paham_dasar,wireframing,Dynamic Skill,1
Q_UI_U_0010,cukup_paham,ui_principles,Dynamic Skill,2
