question_id,skill_id,answer_value,skill_name,skill_score
Q_UI_U_0001,wireframing,belum_paham,Dynamic Skill,0.0
Q_UI_U_0001,wireframing,paham_dasar,Dynamic Skill,1.0
Q_UI_U_0001,ui_principles,cukup_paham,Dynamic Skill,2.0
Q_DATA_0002,python_basic,belum_paham,Dynamic Skill,0.0
Q_DATA_0002,spreadsheet_basic,paham_dasar,Dynamic Skill,1.0
Q_DATA_0002,spreadsheet_basic,cukup_paham,Dynamic Skill,2.0
Q_DATA_0003,spreadsheet_basic,belum_paham,Dynamic Skill,0.0
Q_DATA_0003,python_basic,paham_dasar,Dynamic Skill,1.0
Q_DATA_0003,sql_basic,cukup_paham,Dynamic Skill,2.0
Q_WEB__0004,javascript_basic,belum_paham,Dynamic Skill,0.0
Q_WEB__0004,css_basic,paham_dasar,Dynamic Skill,1.0
Q_WEB__0004,javascript_basic,cukup_paham,Dynamic Skill,2.0
Q_AI_M_0005,mlops,belum_paham,Dynamic Skill,0.0
Q_AI_M_0005,model_training,paham_dasar,Dynamic Skill,1.0
Q_AI_M_0005,python_basic,cukup_paham,Dynamic Skill,2.0
Q_CYBE_0006,linux_basic,belum_paham,Dynamic Skill,0.0
Q_CYBE_0006,networking_fundamental,paham_dasar,Dynamic Skill,1.0
Q_CYBE_0006,log_analysis,cukup_paham,Dynamic Skill,2.0
Q_CYBE_0007,networking_fundamental,belum_paham,Dynamic Skill,0.0
Q_CYBE_0007,linux_basic,paham_dasar,Dynamic Skill,1.0
Q_CYBE_0007,linux_basic,cukup_paham,Dynamic Skill,2.0
Q_DATA_0008,python_basic,belum_paham,Dynamic Skill,0.0
Q_DATA_0008,sql_basic,paham_dasar,Dynamic Skill,1.0
Q_DATA_0008,sql_basic,cukup_paham,Dynamic Skill,2.0
Q_WEB__0009,html_basic,belum_paham,Dynamic Skill,0.0
Q_WEB__0009,html_basic,paham_dasar,Dynamic Skill,1.0
Q_WEB__0009,html_basic,cukup_paham,Dynamic Skill,2.0
Q_UI_U_0010,figma,belum_paham,Dynamic Skill,0.0
Q_UI_U_0010,wireframing,paham_dasar,Dynamic Skill,1.0
Q_UI_U_0010,ui_principles,cukup_paham,Dynamic Skill,2.0
Q_UI_U_0011,figma,belum_paham,Dynamic Skill,0.0
Q_UI_U_0011,wireframing,paham_dasar,Dynamic Skill,1.0
Q_UI_U_0011,wireframing,cukup_paham,Dynamic Skill,2.0
Q_AI_M_0012,model_training,belum_paham,Dynamic Skill,0.0
Q_AI_M_0012,mlops,paham_dasar,Dynamic Skill,1.0
Q_AI_M_0012,model_training,cukup_paham,Dynamic Skill,2.0
Q_UI_U_0013,wireframing,belum_paham,Dynamic Skill,0.0
Q_UI_U_0013,ui_principles,paham_dasar,Dynamic Skill,1.0
Q_UI_U_0013,figma,cukup_paham,Dynamic Skill,2.0
Q_WEB__0014,javascript_basic,belum_paham,Dynamic Skill,0.0
Q_WEB__0014,css_basic,paham_dasar,Dynamic Skill,1.0
Q_WEB__0014,html_basic,cukup_paham,Dynamic Skill,2.0
Q_AI_M_0015,model_training,belum_paham,Dynamic Skill,0.0
Q_AI_M_0015,mlops,paham_dasar,Dynamic Skill,1.0
Q_AI_M_0015,model_training,cukup_paham,Dynamic Skill,2.0
Q_AI_M_0016,python_basic,belum_paham,Dynamic Skill,0.0
