id_tugas,judul,deskripsi,keahlian_terkait,sumber
T_FRONT_1,Bangun Landing Page Portfolio Pertamamu,"Buat halaman portfolio satu layar yang menampilkan nama, ringkasan diri, daftar skill, dan satu tombol call-to-action.",HTML dasar,compana_enriched_synthetic
T_FRONT_2,Rapikan Portfolio dengan Layout Responsif,"Tambahkan CSS agar halaman portfolio memiliki spacing rapi, warna konsisten, dan tetap nyaman dilihat di mobile.",CSS dasar,compana_enriched_synthetic
T_FRONT_3,Buat Tombol Interaktif dengan JavaScript,Tambahkan interaksi tombol yang mengubah teks/status halaman saat diklik menggunakan JavaScript dasar.,JavaScript dasar,compana_enriched_synthetic
T_FRONT_4,Buat Komponen Card Responsif,Buat 3 card sederhana untuk menampilkan project/skill dengan layout yang menyesuaikan lebar layar.,CSS dasar,compana_enriched_synthetic
T_FRONT_5,Hubungkan Form ke API Dummy dengan Fetch,Buat form kecil yang mengirim data ke API dummy atau endpoint simulasi lalu menampilkan response JSON.,JavaScript dasar,compana_enriched_synthetic
T_FRONT_6,Dokumentasikan Project Frontend di GitHub,"Susun repository kecil berisi project frontend, README, cara menjalankan, dan screenshot hasil.",Git dan GitHub,compana_enriched_synthetic
T_FRONT_7,Ubah Data Card menjadi Typed Object,Buat contoh kecil TypeScript untuk mendefinisikan tipe data card dan merender daftar data secara aman.,TypeScript,compana_enriched_synthetic
T_FRONT_8,Audit dan Perbaiki State UI Sederhana,"Buat mini UI yang memiliki state kosong, loading, sukses, dan error agar user flow lebih jelas.",JavaScript dasar,compana_enriched_synthetic
T_BACK_1,Buat Fungsi Validasi Payload API,"Buat script JavaScript yang memvalidasi payload todo sebelum disimpan: title wajib, status hanya pending/done, dan error ditampilkan jelas.",JavaScript dasar,compana_enriched_synthetic
T_BACK_2,Buat Query SQL untuk Laporan Todo,"Buat skema tabel todo dan query untuk menampilkan todo berdasarkan status, jumlah todo per status, serta update status.",SQL dasar,compana_enriched_synthetic
T_BACK_3,Buat REST API Todo dengan Validasi Input,"Implementasikan endpoint GET dan POST untuk resource todo. Jelaskan request body, response JSON, dan error handling minimal.",REST API,compana_enriched_synthetic
T_BACK_4,Buat Repository Portfolio Backend,"Susun repository GitHub untuk mini API backend: README, struktur folder, contoh request, dan screenshot hasil endpoint.",Git dan GitHub,compana_enriched_synthetic
T_BACK_5,Buat Script Python Ringkasan Todo,Buat script Python yang memvalidasi list todo dan menghitung ringkasan pending/done.,Python dasar,compana_enriched_synthetic
T_BACK_6,Buat Program Java CRUD Todo Console,"Buat program Java console untuk tambah todo, lihat daftar todo, ubah status, dan menampilkan output yang jelas.",Java,compana_enriched_synthetic
T_BACK_7,Containerize Mini API Backend,Buat Dockerfile untuk menjalankan mini API backend dan dokumentasikan cara build/run container.,Docker,compana_enriched_synthetic
T_BACK_8,Buat Checklist CI/CD untuk API Backend,Susun workflow sederhana untuk menjalankan test/build backend otomatis dan catat status sukses/gagal.,ci_cd,compana_enriched_synthetic
T_UIUX_1,Audit UI Satu Halaman dengan Prinsip Dasar,"Pilih satu halaman aplikasi dan nilai hierarki visual, konsistensi, spacing, dan readability.",prinsip UI,compana_enriched_synthetic
T_UIUX_2,Rancang Wireframe Low-Fidelity Dashboard,"Buat wireframe sederhana untuk dashboard career companion berisi ringkasan status, task aktif, dan progress.",wireframe,compana_enriched_synthetic
T_UIUX_3,Buat Component Button dan Card di Figma,Buat component button dan card dengan variant sederhana agar desain lebih konsisten.,Figma,compana_enriched_synthetic
T_UIUX_4,Buat Prototype Flow Submit Task,Buat prototype sederhana dari halaman action plan ke detail task lalu feedback setelah submit.,prototype,compana_enriched_synthetic
T_UIUX_5,Buat User Flow Onboarding Aplikasi Karir,Petakan alur user dari input kebingungan sampai mendapat action plan pertama.,UI/UX,compana_enriched_synthetic
T_UIUX_6,Terjemahkan Wireframe ke Layout HTML CSS,Buat versi HTML/CSS sederhana dari wireframe dashboard agar struktur visual bisa diuji di browser.,CSS dasar,compana_enriched_synthetic
T_UIUX_7,Buat Interaksi Prototype Ringan di Browser,Tambahkan interaksi sederhana seperti tab/filter pada layout HTML agar flow terasa hidup.,JavaScript dasar,compana_enriched_synthetic
T_UIUX_8,Susun Backlog Perbaikan UX Prioritas,"Ubah hasil audit UI menjadi backlog kecil berisi masalah, dampak user, dan prioritas pengerjaan.",agile_scrum,compana_enriched_synthetic
T_CYBE_1,Petakan Alur Koneksi HTTP Sederhana,Buat catatan visual tentang perjalanan request HTTP dari browser ke server dan kembali ke user.,networking fundamental,compana_enriched_synthetic
T_CYBE_2,Jalankan Perintah Linux untuk Investigasi Awal,"Gunakan perintah Linux dasar untuk melihat file log simulasi, mencari keyword, dan menghitung temuan sederhana.",Linux dasar,compana_enriched_synthetic
T_CYBE_3,Analisis Pola Login Mencurigakan dari Sample Log,Analisis sample authentication log untuk menemukan IP/user dengan pola failed login berulang dan tulis rekomendasi tindak lanjut.,log analysis,compana_enriched_synthetic
