role_id,role_name,domain_interest,required_skill_id,required_skill_name,skill_category,priority,minimum_level,step_order,prerequisite_skill_id
_net_developer__full_stack_,.Net Developer (Full Stack),web_development,html,HTML,fundamental,high,basic,1,
_net_developer__full_stack_,.Net Developer (Full Stack),web_development,javascript,JavaScript,fundamental,high,basic,2,html
_net_developer__full_stack_,.Net Developer (Full Stack),web_development,agile_scrum,Agile/Scrum,fundamental,high,basic,3,javascript
_net_developer__full_stack_,.Net Developer (Full Stack),web_development,sql,SQL,fundamental,medium,basic,4,agile_scrum
_net_developer__full_stack_,.Net Developer (Full Stack),web_development,css,CSS,fundamental,medium,basic,5,sql
_net_developer__full_stack_,.Net Developer (Full Stack),web_development,mongodb,MongoDB,core,medium,intermediate,6,css
_net_developer__full_stack_,.Net Developer (Full Stack),web_development,typescript,TypeScript,core,medium,intermediate,7,mongodb
_net_developer__full_stack_,.Net Developer (Full Stack),web_development,rest_api,REST API,core,medium,intermediate,8,typescript
_net_developer__full_stack_,.Net Developer (Full Stack),web_development,mysql,MySQL,core,medium,intermediate,9,rest_api
_net_developer__full_stack_,.Net Developer (Full Stack),web_development,machine_learning,Machine Learning,core,medium,intermediate,10,mysql
_net_developer__full_stack_,.Net Developer (Full Stack),web_development,azure,Azure,advanced,medium,advanced,11,machine_learning
2d_designer_project_based,2D Designer Project Based,ui_ux,typescript,TypeScript,core,high,intermediate,1,
2d_designer_project_based,2D Designer Project Based,ui_ux,golang,Golang,core,high,intermediate,2,typescript
3rd_level_engineer__network_,3rd Level Engineer (Network),devops,excel,Excel,fundamental,high,basic,1,
3rd_level_engineer__network_,3rd Level Engineer (Network),devops,typescript,TypeScript,core,high,intermediate,2,excel
ai___automation_specialist___corporate_pollux_group,AI & Automation Specialist - Corporate Pollux Group,ai_ml,sql,SQL,fundamental,high,basic,1,
ai___automation_specialist___corporate_pollux_group,AI & Automation Specialist - Corporate Pollux Group,ai_ml,python,Python,fundamental,high,basic,2,sql
ai___automation_specialist___corporate_pollux_group,AI & Automation Specialist - Corporate Pollux Group,ai_ml,typescript,TypeScript,core,high,intermediate,3,python
ai___automation_specialist___corporate_pollux_group,AI & Automation Specialist - Corporate Pollux Group,ai_ml,power_bi,Power BI,core,medium,intermediate,4,typescript
ai___automation_specialist___corporate_pollux_group,AI & Automation Specialist - Corporate Pollux Group,data_science,sql,SQL,fundamental,high,basic,1,
ai___automation_specialist___corporate_pollux_group,AI & Automation Specialist - Corporate Pollux Group,data_science,python,Python,fundamental,high,basic,2,sql
ai___automation_specialist___corporate_pollux_group,AI & Automation Specialist - Corporate Pollux Group,data_science,typescript,TypeScript,core,high,intermediate,3,python
ai___automation_specialist___corporate_pollux_group,AI & Automation Specialist - Corporate Pollux Group,data_science,power_bi,Power BI,core,medium,intermediate,4,typescript
