pretext_text,target_role,problem_category,current_level,blocker_type
"Ada banyak framework frontend, saya tidak tahu yang mana untuk frontend_developer.",frontend_developer,frontend_task,beginner,none
"Saya baru mulai frontend_developer, tidak tahu harus mulai dari mana.",frontend_developer,frontend_task,beginner,none
Saya tidak mengerti JavaScript fundamentals untuk frontend_developer.,frontend_developer,frontend_task,beginner,none
Bagaimana cara memulai karir sebagai frontend_developer? Saya sangat bingung.,frontend_developer,frontend_task,beginner,none
"Ada banyak framework frontend, saya tidak tahu yang mana untuk frontend_developer.",frontend_developer,frontend_task,beginner,none
Saya takut tidak cukup smart untuk UI/UX di frontend_developer.,frontend_developer,frontend_task,beginner,none
"Saya baru mulai frontend_developer, tidak tahu harus mulai dari mana.",frontend_developer,frontend_task,beginner,none
Saya mengalami kesulitan dengan HTML/CSS untuk frontend_developer.,frontend_developer,frontend_task,beginner,none
Saya tidak mengerti JavaScript fundamentals untuk frontend_developer.,frontend_developer,frontend_task,beginner,none
Saya ragu-ragu apakah bisa jadi frontend_developer yang bagus.,frontend_developer,frontend_task,beginner,none
Saya bingung harus specialisasi di mana sebagai frontend_developer.,frontend_developer,frontend_task,beginner,none
Saya tidak mengerti JavaScript fundamentals untuk frontend_developer.,frontend_developer,frontend_task,beginner,none
Saya takut tidak cukup smart untuk UI/UX di frontend_developer.,frontend_developer,frontend_task,beginner,none
"Terlalu banyak tools CSS untuk frontend_developer, saya pusing.",frontend_developer,frontend_task,beginner,none
"Terlalu banyak tools CSS untuk frontend_developer, saya pusing.",frontend_developer,frontend_task,beginner,none
Saya bingung harus specialisasi di mana sebagai frontend_developer.,frontend_developer,frontend_task,beginner,none
Saya stuck di awal belajar React sebagai frontend_developer.,frontend_developer,frontend_task,beginner,none
Bagaimana cara memulai karir sebagai frontend_developer? Saya sangat bingung.,frontend_developer,frontend_task,beginner,none
"Terlalu banyak tools CSS untuk frontend_developer, saya pusing.",frontend_developer,frontend_task,beginner,none
Saya mengalami kesulitan dengan HTML/CSS untuk frontend_developer.,frontend_developer,frontend_task,beginner,none
Apa aja yang perlu saya pelajari untuk menjadi frontend_developer yang bagus?,frontend_developer,frontend_task,basic,none
Saya stuck di awal belajar React sebagai frontend_developer.,frontend_developer,frontend_task,basic,none
Saya takut tidak cukup smart untuk UI/UX di frontend_developer.,frontend_developer,frontend_task,basic,none
"Terlalu banyak tools CSS untuk frontend_developer, saya pusing.",frontend_developer,frontend_task,basic,none
Saya bingung harus specialisasi di mana sebagai frontend_developer.,frontend_developer,frontend_task,basic,none
Saya ragu-ragu apakah bisa jadi frontend_developer yang bagus.,frontend_developer,frontend_task,basic,none
Saya sudah basic tapi masih ada gap signifikan di responsive design.,frontend_developer,frontend_task,basic,none
Saya mengalami kesulitan dengan HTML/CSS untuk frontend_developer.,frontend_developer,frontend_task,basic,none
"Saya tahu skill apa yang perlu, tapi gap di beberapa area frontend_developer.",frontend_developer,frontend_task,basic,none
Saya takut tidak cukup smart untuk UI/UX di frontend_developer.,frontend_developer,frontend_task,basic,none
Saya bingung harus specialisasi di mana sebagai frontend_developer.,frontend_developer,frontend_task,basic,none
"Saya baru mulai frontend_developer, tidak tahu harus mulai dari mana.",frontend_developer,frontend_task,basic,none
"Terlalu banyak tools CSS untuk frontend_developer, saya pusing.",frontend_developer,frontend_task,basic,none
Saya mengalami kesulitan dengan HTML/CSS untuk frontend_developer.,frontend_developer,frontend_task,basic,none
"Saya tahu skill apa yang perlu, tapi gap di beberapa area frontend_developer.",frontend_developer,frontend_task,basic,none
Apa aja yang perlu saya pelajari untuk menjadi frontend_developer yang bagus?,frontend_developer,frontend_task,basic,none
"Saya kebingungan, mulai dari CSS atau JavaScript ya untuk frontend_developer?",frontend_developer,frontend_task,basic,none
Bagaimana cara memulai karir sebagai frontend_developer? Saya sangat bingung.,frontend_developer,frontend_task,basic,none
Saya stuck di awal belajar React sebagai frontend_developer.,frontend_developer,frontend_task,basic,none
"Ada banyak framework frontend, saya tidak tahu yang mana untuk frontend_developer.",frontend_developer,frontend_task,basic,none
Saya bingung harus specialisasi di mana sebagai frontend_developer.,frontend_developer,frontend_task,intermediate,none
Saya takut tidak cukup smart untuk UI/UX di frontend_developer.,frontend_developer,frontend_task,intermediate,none
Saya ragu-ragu apakah bisa jadi frontend_developer yang bagus.,frontend_developer,frontend_task,intermediate,none
Bagaimana cara memulai karir sebagai frontend_developer? Saya sangat bingung.,frontend_developer,frontend_task,intermediate,none
Apa aja yang perlu saya pelajari untuk menjadi frontend_developer yang bagus?,frontend_developer,frontend_task,intermediate,none
Saya sudah intermediate tapi masih ada gap signifikan di responsive design.,frontend_developer,frontend_task,intermediate,none
"Ada banyak framework frontend, saya tidak tahu yang mana untuk frontend_developer.",frontend_developer,frontend_task,intermediate,none
"Saya tahu skill apa yang perlu, tapi gap di beberapa area frontend_developer.",frontend_developer,frontend_task,intermediate,none
Saya tidak mengerti JavaScript fundamentals untuk frontend_developer.,frontend_developer,frontend_task,intermediate,none
"Terlalu banyak tools CSS untuk frontend_developer, saya pusing.",frontend_developer,frontend_task,intermediate,none
Apa aja yang perlu saya pelajari untuk menjadi frontend_developer yang bagus?,frontend_developer,frontend_task,intermediate,none
Saya mengalami kesulitan dengan HTML/CSS untuk frontend_developer.,frontend_developer,frontend_task,intermediate,none
Saya sudah intermediate tapi masih ada gap signifikan di responsive design.,frontend_developer,frontend_task,intermediate,none
Saya tidak mengerti JavaScript fundamentals untuk frontend_developer.,frontend_developer,frontend_task,intermediate,none
Apa aja yang perlu saya pelajari untuk menjadi frontend_developer yang bagus?,frontend_developer,frontend_task,intermediate,none
Bagaimana cara memulai karir sebagai frontend_developer? Saya sangat bingung.,frontend_developer,frontend_task,intermediate,none
Bagaimana cara memulai karir sebagai frontend_developer? Saya sangat bingung.,frontend_developer,frontend_task,intermediate,none
Saya bingung harus specialisasi di mana sebagai frontend_developer.,frontend_developer,frontend_task,intermediate,none
Saya bingung harus specialisasi di mana sebagai frontend_developer.,frontend_developer,frontend_task,intermediate,none
Saya sudah intermediate tapi masih ada gap signifikan di responsive design.,frontend_developer,frontend_task,intermediate,none
Saya stuck di awal belajar React sebagai frontend_developer.,frontend_developer,frontend_task,advanced,none
Bagaimana cara memulai karir sebagai frontend_developer? Saya sangat bingung.,frontend_developer,frontend_task,advanced,none
Saya mengalami kesulitan dengan HTML/CSS untuk frontend_developer.,frontend_developer,frontend_task,advanced,none
"Saya tahu skill apa yang perlu, tapi gap di beberapa area frontend_developer.",frontend_developer,frontend_task,advanced,none
Bagaimana cara memulai karir sebagai frontend_developer? Saya sangat bingung.,frontend_developer,frontend_task,advanced,none
"Terlalu banyak tools CSS untuk frontend_developer, saya pusing.",frontend_developer,frontend_task,advanced,none
Saya takut tidak cukup smart untuk UI/UX di frontend_developer.,frontend_developer,frontend_task,advanced,none
Apa aja yang perlu saya pelajari untuk menjadi frontend_developer yang bagus?,frontend_developer,frontend_task,advanced,none
Saya takut tidak cukup smart untuk UI/UX di frontend_developer.,frontend_developer,frontend_task,advanced,none
Saya ragu-ragu apakah bisa jadi frontend_developer yang bagus.,frontend_developer,frontend_task,advanced,none
Saya ragu-ragu apakah bisa jadi frontend_developer yang bagus.,frontend_developer,frontend_task,advanced,none
"Ada banyak framework frontend, saya tidak tahu yang mana untuk frontend_developer.",frontend_developer,frontend_task,advanced,none
"Ada banyak framework frontend, saya tidak tahu yang mana untuk frontend_developer.",frontend_developer,frontend_task,advanced,none
"Terlalu banyak tools CSS untuk frontend_developer, saya pusing.",frontend_developer,frontend_task,advanced,none
Saya mengalami kesulitan dengan HTML/CSS untuk frontend_developer.,frontend_developer,frontend_task,advanced,none
