question_id,domain_interest,target_role,current_level,blocker_type,question,answer_type,options,purpose,priority
Q_UI_U_0001,ui_ux,ui_ux_designer,basic,no_foundation,Pertanyaan untuk ui_ux_designer level basic mengenai blocker no_foundation pada skill ui_principles?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ui_ux_1,high
Q_DATA_0002,data_science,data_analyst,advanced,skill_gap_confusion,Pertanyaan untuk data_analyst level advanced mengenai blocker skill_gap_confusion pada skill python_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_data_science_2,high
Q_DATA_0003,data_science,data_analyst,beginner,no_foundation,Pertanyaan untuk data_analyst level beginner mengenai blocker no_foundation pada skill python_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_data_science_3,high
Q_WEB__0004,web_development,frontend_developer,beginner,no_foundation,Pertanyaan untuk frontend_developer level beginner mengenai blocker no_foundation pada skill html_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_web_development_4,high
Q_AI_M_0005,ai_ml,machine_learning_engineer,advanced,no_foundation,Pertanyaan untuk machine_learning_engineer level advanced mengenai blocker no_foundation pada skill python_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ai_ml_5,high
Q_CYBE_0006,cyber_security,soc_analyst,intermediate,no_foundation,Pertanyaan untuk soc_analyst level intermediate mengenai blocker no_foundation pada skill linux_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_cyber_security_6,high
Q_CYBE_0007,cyber_security,soc_analyst,beginner,no_starting_point,Pertanyaan untuk soc_analyst level beginner mengenai blocker no_starting_point pada skill linux_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_cyber_security_7,high
Q_DATA_0008,data_science,data_analyst,intermediate,skill_gap_confusion,Pertanyaan untuk data_analyst level intermediate mengenai blocker skill_gap_confusion pada skill sql_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_data_science_8,high
Q_WEB__0009,web_development,frontend_developer,advanced,no_portfolio,Pertanyaan untuk frontend_developer level advanced mengenai blocker no_portfolio pada skill javascript_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_web_development_9,high
Q_UI_U_0010,ui_ux,ui_ux_designer,advanced,no_starting_point,Pertanyaan untuk ui_ux_designer level advanced mengenai blocker no_starting_point pada skill ui_principles?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ui_ux_10,high
Q_UI_U_0011,ui_ux,ui_ux_designer,intermediate,skill_gap_confusion,Pertanyaan untuk ui_ux_designer level intermediate mengenai blocker skill_gap_confusion pada skill wireframing?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ui_ux_11,high
Q_AI_M_0012,ai_ml,machine_learning_engineer,beginner,skill_gap_confusion,Pertanyaan untuk machine_learning_engineer level beginner mengenai blocker skill_gap_confusion pada skill mlops?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ai_ml_12,high
Q_UI_U_0013,ui_ux,ui_ux_designer,intermediate,no_starting_point,Pertanyaan untuk ui_ux_designer level intermediate mengenai blocker no_starting_point pada skill figma?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ui_ux_13,high
Q_WEB__0014,web_development,frontend_developer,beginner,no_starting_point,Pertanyaan untuk frontend_developer level beginner mengenai blocker no_starting_point pada skill javascript_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_web_development_14,high
Q_AI_M_0015,ai_ml,machine_learning_engineer,intermediate,no_foundation,Pertanyaan untuk machine_learning_engineer level intermediate mengenai blocker no_foundation pada skill model_training?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ai_ml_15,high
Q_AI_M_0016,ai_ml,machine_learning_engineer,beginner,skill_gap_confusion,Pertanyaan untuk machine_learning_engineer level beginner mengenai blocker skill_gap_confusion pada skill mlops?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ai_ml_16,high
Q_UI_U_0017,ui_ux,ui_ux_designer,advanced,skill_gap_confusion,Pertanyaan untuk ui_ux_designer level advanced mengenai blocker skill_gap_confusion pada skill wireframing?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ui_ux_17,high
Q_DATA_0018,data_science,data_analyst,intermediate,no_portfolio,Pertanyaan untuk data_analyst level intermediate mengenai blocker no_portfolio pada skill python_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_data_science_18,high
Q_AI_M_0019,ai_ml,machine_learning_engineer,basic,no_starting_point,Pertanyaan untuk machine_learning_engineer level basic mengenai blocker no_starting_point pada skill python_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ai_ml_19,high
Q_CYBE_0020,cyber_security,soc_analyst,basic,no_portfolio,Pertanyaan untuk soc_analyst level basic mengenai blocker no_portfolio pada skill linux_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_cyber_security_20,high
Q_AI_M_0021,ai_ml,machine_learning_engineer,beginner,no_foundation,Pertanyaan untuk machine_learning_engineer level beginner mengenai blocker no_foundation pada skill mlops?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ai_ml_21,high
