task_id,domain_interest,target_role,target_skill_id,current_level,task_title,task_description,duration_estimate,output_format,difficulty,prerequisite_skill_id
T_UI_U_1,ui_ux,ui_ux_designer,ui_principles,basic,Task 1 untuk ui_ux_designer,Deskripsi tugas mendalam di sini.,1-2 hari,screenshot/link,easy,
T_DATA_2,data_science,data_analyst,sql_basic,advanced,Task 2 untuk data_analyst,Deskripsi tugas mendalam di sini.,1-2 hari,screenshot/link,easy,
T_DATA_3,data_science,data_analyst,spreadsheet_basic,beginner,Task 3 untuk data_analyst,Deskripsi tugas mendalam di sini.,1-2 hari,screenshot/link,easy,
T_WEB__4,web_development,frontend_developer,html_basic,beginner,Task 4 untuk frontend_developer,Deskripsi tugas mendalam di sini.,1-2 hari,screenshot/link,easy,
T_AI_M_5,ai_ml,machine_learning_engineer,python_basic,advanced,Task 5 untuk machine_learning_engineer,Deskripsi tugas mendalam di sini.,1-2 hari,screenshot/link,easy,
T_CYBE_6,cyber_security,soc_analyst,log_analysis,intermediate,Task 6 untuk soc_analyst,Deskripsi tugas mendalam di sini.,1-2 hari,screenshot/link,easy,
T_CYBE_7,cyber_security,soc_analyst,networking_fundamental,beginner,Task 7 untuk soc_analyst,Deskripsi tugas mendalam di sini.,1-2 hari,screenshot/link,easy,
T_DATA_8,data_science,data_analyst,spreadsheet_basic,intermediate,Task 8 untuk data_analyst,Deskripsi tugas mendalam di sini.,1-2 hari,screenshot/link,easy,
T_WEB__9,web_development,frontend_developer,html_basic,advanced,Task 9 untuk frontend_developer,Deskripsi tugas mendalam di sini.,1-2 hari,screenshot/link,easy,
T_UI_U_10,ui_ux,ui_ux_designer,figma,advanced,Task 10 untuk ui_ux_designer,Deskripsi tugas mendalam di sini.,1-2 hari,screenshot/link,easy,
T_UI_U_11,ui_ux,ui_ux_designer,wireframing,intermediate,Task 11 untuk ui_ux_designer,Deskripsi tugas mendalam di sini.,1-2 hari,screenshot/link,easy,
T_AI_M_12,ai_ml,machine_learning_engineer,mlops,beginner,Task 12 untuk machine_learning_engineer,Deskripsi tugas mendalam di sini.,1-2 hari,screenshot/link,easy,
T_UI_U_13,ui_ux,ui_ux_designer,figma,intermediate,Task 13 untuk ui_ux_designer,Deskripsi tugas mendalam di sini.,1-2 hari,screenshot/link,easy,
T_WEB__14,web_development,frontend_developer,javascript_basic,beginner,Task 14 untuk frontend_developer,Deskripsi tugas mendalam di sini.,1-2 hari,screenshot/link,easy,
T_AI_M_15,ai_ml,machine_learning_engineer,python_basic,intermediate,Task 15 untuk machine_learning_engineer,Deskripsi tugas mendalam di sini.,1-2 hari,screenshot/link,easy,
T_AI_M_16,ai_ml,machine_learning_engineer,python_basic,beginner,Task 16 untuk machine_learning_engineer,Deskripsi tugas mendalam di sini.,1-2 hari,screenshot/link,easy,
T_UI_U_17,ui_ux,ui_ux_designer,figma,advanced,Task 17 untuk ui_ux_designer,Deskripsi tugas mendalam di sini.,1-2 hari,screenshot/link,easy,
T_DATA_18,data_science,data_analyst,spreadsheet_basic,intermediate,Task 18 untuk data_analyst,Deskripsi tugas mendalam di sini.,1-2 hari,screenshot/link,easy,
T_AI_M_19,ai_ml,machine_learning_engineer,python_basic,basic,Task 19 untuk machine_learning_engineer,Deskripsi tugas mendalam di sini.,1-2 hari,screenshot/link,easy,
T_CYBE_20,cyber_security,soc_analyst,networking_fundamental,basic,Task 20 untuk soc_analyst,Deskripsi tugas mendalam di sini.,1-2 hari,screenshot/link,easy,
T_AI_M_21,ai_ml,machine_learning_engineer,model_training,beginner,Task 21 untuk machine_learning_engineer,Deskripsi tugas mendalam di sini.,1-2 hari,screenshot/link,easy,
T_CYBE_22,cyber_security,soc_analyst,networking_fundamental,advanced,Task 22 untuk soc_analyst,Deskripsi tugas mendalam di sini.,1-2 hari,screenshot/link,easy,
T_UI_U_23,ui_ux,ui_ux_designer,wireframing,intermediate,Task 23 untuk ui_ux_designer,Deskripsi tugas mendalam di sini.,1-2 hari,screenshot/link,easy,
T_DATA_24,data_science,data_analyst,sql_basic,intermediate,Task 24 untuk data_analyst,Deskripsi tugas mendalam di sini.,1-2 hari,screenshot/link,easy,
T_CYBE_25,cyber_security,soc_analyst,linux_basic,basic,Task 25 untuk soc_analyst,Deskripsi tugas mendalam di sini.,1-2 hari,screenshot/link,easy,
